Date,UserId,Client_Type,Chat_Conversations,Credits_Used,Overage_Cap,Overage_Credits_Used,Overage_Enabled,ProfileId,Subscription_Tier,Total_Messages,Auto_messages,Claude_Opus_4.6_messages,Claude_Sonnet_4.6_messages,DeepSeek_V3.2_messages,Qwen3_Coder_Next_messages,New_User
2026-04-01,d-92675051d5.4a0a1ddb-32de-4237-b40f-cbc81f6ae105,KIRO_CLI,3,6.14,1000.0,0.0,false,kiro-profile-prod-use1,Pro,18,5,1,4,4,4,false
2026-04-01,d-92675051d5.59888cc4-2dac-4454-a84e-b7968ad4e112,KIRO_CLI,2,7.64,1000.0,0.0,false,kiro-profile-prod-use1,Pro,19,5,2,5,3,4,false
2026-04-01,d-92675051d5.6273ba8a-bb02-425f-b443-3d4dcb2c9108,KIRO_CLI,3,8.47,700.0,0.0,true,kiro-profile-prod-use1,ProPlus,23,7,1,6,4,5,false
2026-04-01,d-92675051d5.838f6b85-1e72-4404-a193-f1b0dc79d107,KIRO_CLI,5,15.5,2500.0,0.0,true,kiro-profile-prod-use1,Power,37,9,3,10,7,8,false
2026-04-01,d-92675051d5.f12818d1-8f2c-4d54-9188-4f7224a4d103,KIRO_CLI,3,9.91,1000.0,0.0,false,kiro-profile-prod-use1,Pro,26,8,1,7,5,5,false
2026-04-02,d-92675051d5.0ec463de-81c2-4f79-9d4c-029f7bb0f101,KIRO_CLI,6,25.63,3000.0,0.0,true,kiro-profile-prod-use1,Power,50,13,9,16,5,7,false
2026-04-02,d-92675051d5.838f6b85-1e72-4404-a193-f1b0dc79d107,KIRO_CLI,6,15.99,2500.0,0.0,true,kiro-profile-prod-use1,Power,41,10,3,12,8,8,false
2026-04-02,d-92675051d5.a9a3e94b-b147-4fb7-9934-f5ea941fd110,KIRO_CLI,6,26.77,3200.0,0.0,true,kiro-profile-prod-use1,Power,53,11,12,16,6,8,false
2026-04-02,d-92675051d5.f12818d1-8f2c-4d54-9188-4f7224a4d103,KIRO_CLI,3,9.71,1000.0,0.0,false,kiro-profile-prod-use1,Pro,26,8,1,7,5,5,false
2026-04-03,d-92675051d5.59888cc4-2dac-4454-a84e-b7968ad4e112,KIRO_CLI,4,10.42,1000.0,0.0,false,kiro-profile-prod-use1,Pro,23,5,3,7,3,5,false
2026-04-03,d-92675051d5.7f1ccf95-18df-4d5f-9d1b-7155a1be8114,KIRO_CLI,2,5.3,2000.0,0.0,false,kiro-profile-prod-use1,ProPlus,14,4,1,3,2,4,false
2026-04-04,d-92675051d5.4a0a1ddb-32de-4237-b40f-cbc81f6ae105,KIRO_CLI,1,2.36,1000.0,0.0,false,kiro-profile-prod-use1,Pro,7,2,0,2,2,1,false
2026-04-04,d-92675051d5.797d1e6c-6d5f-41a9-8dc7-53d2ef14e102,KIRO_CLI,2,6.11,850.0,0.0,true,kiro-profile-prod-use1,ProPlus,14,3,1,5,3,2,false
2026-04-04,d-92675051d5.a9a3e94b-b147-4fb7-9934-f5ea941fd110,KIRO_CLI,2,11.66,3200.0,0.0,true,kiro-profile-prod-use1,Power,21,4,5,7,2,3,false
2026-04-06,d-92675051d5.0ec463de-81c2-4f79-9d4c-029f7bb0f101,KIRO_CLI,7,23.43,3000.0,0.0,true,kiro-profile-prod-use1,Power,46,12,8,15,5,6,false
2026-04-06,d-92675051d5.797d1e6c-6d5f-41a9-8dc7-53d2ef14e102,KIRO_CLI,3,10.52,850.0,0.0,true,kiro-profile-prod-use1,ProPlus,24,5,2,9,4,4,false
2026-04-06,d-92675051d5.838f6b85-1e72-4404-a193-f1b0dc79d107,KIRO_CLI,4,9.29,2500.0,0.0,true,kiro-profile-prod-use1,Power,23,6,2,6,4,5,false
2026-04-06,d-92675051d5.a9a3e94b-b147-4fb7-9934-f5ea941fd110,KIRO_CLI,8,25.91,3200.0,0.0,true,kiro-profile-prod-use1,Power,50,10,11,15,6,8,false
2026-04-07,d-92675051d5.0ec463de-81c2-4f79-9d4c-029f7bb0f101,KIRO_CLI,6,24.56,3000.0,0.0,true,kiro-profile-prod-use1,Power,51,13,9,17,5,7,false
2026-04-07,d-92675051d5.3b537ba7-2c3b-4a6c-aec6-61e594bd1109,KIRO_CLI,2,5.83,1000.0,0.0,false,kiro-profile-prod-use1,Pro,16,5,1,4,3,3,false
2026-04-07,d-92675051d5.4a0a1ddb-32de-4237-b40f-cbc81f6ae105,KIRO_CLI,3,6.32,1000.0,0.0,false,kiro-profile-prod-use1,Pro,17,5,1,4,4,3,false
2026-04-07,d-92675051d5.6273ba8a-bb02-425f-b443-3d4dcb2c9108,KIRO_CLI,3,7.88,700.0,0.0,true,kiro-profile-prod-use1,ProPlus,21,6,1,6,4,4,false
2026-04-07,d-92675051d5.797d1e6c-6d5f-41a9-8dc7-53d2ef14e102,KIRO_CLI,4,13.27,850.0,0.0,true,kiro-profile-prod-use1,ProPlus,29,7,3,10,5,4,false
2026-04-07,d-92675051d5.a9a3e94b-b147-4fb7-9934-f5ea941fd110,KIRO_CLI,8,36.02,3200.0,0.0,true,kiro-profile-prod-use1,Power,69,14,15,21,8,11,false
2026-04-07,d-92675051d5.f12818d1-8f2c-4d54-9188-4f7224a4d103,KIRO_CLI,2,7.8,1000.0,0.0,false,kiro-profile-prod-use1,Pro,21,6,1,6,4,4,false
2026-04-08,d-92675051d5.0ec463de-81c2-4f79-9d4c-029f7bb0f101,KIRO_CLI,6,26.25,3000.0,0.0,true,kiro-profile-prod-use1,Power,53,14,10,17,5,7,false
2026-04-08,d-92675051d5.4a0a1ddb-32de-4237-b40f-cbc81f6ae105,KIRO_CLI,3,6.32,1000.0,0.0,false,kiro-profile-prod-use1,Pro,17,5,1,4,4,3,false
2026-04-08,d-92675051d5.6273ba8a-bb02-425f-b443-3d4dcb2c9108,KIRO_CLI,3,12.51,700.0,0.0,true,kiro-profile-prod-use1,ProPlus,32,9,2,8,6,7,false
2026-04-08,d-92675051d5.7f1ccf95-18df-4d5f-9d1b-7155a1be8114,KIRO_CLI,2,6.21,2000.0,0.0,false,kiro-profile-prod-use1,ProPlus,17,5,1,4,3,4,false
2026-04-08,d-92675051d5.a9a3e94b-b147-4fb7-9934-f5ea941fd110,KIRO_CLI,10,32.1,3200.0,0.0,true,kiro-profile-prod-use1,Power,63,13,14,19,7,10,false
2026-04-08,d-92675051d5.f12818d1-8f2c-4d54-9188-4f7224a4d103,KIRO_CLI,3,9.65,1000.0,0.0,false,kiro-profile-prod-use1,Pro,26,8,1,7,5,5,false
2026-04-09,d-92675051d5.797d1e6c-6d5f-41a9-8dc7-53d2ef14e102,KIRO_CLI,5,16.38,850.0,0.0,true,kiro-profile-prod-use1,ProPlus,36,8,4,13,6,5,false
2026-04-09,d-92675051d5.f12818d1-8f2c-4d54-9188-4f7224a4d103,KIRO_CLI,3,7.13,1000.0,0.0,false,kiro-profile-prod-use1,Pro,19,6,1,5,3,4,false
2026-04-10,d-92675051d5.3b537ba7-2c3b-4a6c-aec6-61e594bd1109,KIRO_CLI,3,6.53,1000.0,0.0,false,kiro-profile-prod-use1,Pro,20,7,1,4,4,4,false
2026-04-10,d-92675051d5.4a0a1ddb-32de-4237-b40f-cbc81f6ae105,KIRO_CLI,2,6.06,1000.0,0.0,false,kiro-profile-prod-use1,Pro,15,4,1,4,3,3,false
2026-04-10,d-92675051d5.838f6b85-1e72-4404-a193-f1b0dc79d107,KIRO_CLI,5,11.46,2500.0,0.0,true,kiro-profile-prod-use1,Power,30,8,2,8,6,6,false
2026-04-10,d-92675051d5.a9a3e94b-b147-4fb7-9934-f5ea941fd110,KIRO_CLI,9,32.24,3200.0,0.0,true,kiro-profile-prod-use1,Power,61,12,13,19,7,10,false
2026-04-11,d-92675051d5.797d1e6c-6d5f-41a9-8dc7-53d2ef14e102,KIRO_CLI,2,4.62,850.0,0.0,true,kiro-profile-prod-use1,ProPlus,11,2,1,4,2,2,false
2026-04-12,d-92675051d5.838f6b85-1e72-4404-a193-f1b0dc79d107,KIRO_CLI,1,3.66,2500.0,0.0,true,kiro-profile-prod-use1,Power,9,2,1,2,2,2,false
2026-04-13,d-92675051d5.0ec463de-81c2-4f79-9d4c-029f7bb0f101,KIRO_CLI,5,16.17,3000.0,0.0,true,kiro-profile-prod-use1,Power,32,8,6,10,3,5,false
2026-04-13,d-92675051d5.4a0a1ddb-32de-4237-b40f-cbc81f6ae105,KIRO_CLI,2,5.32,1000.0,0.0,false,kiro-profile-prod-use1,Pro,15,4,1,3,4,3,false
2026-04-13,d-92675051d5.a9a3e94b-b147-4fb7-9934-f5ea941fd110,KIRO_CLI,5,22.23,3200.0,0.0,true,kiro-profile-prod-use1,Power,42,8,9,13,5,7,false
2026-04-14,d-92675051d5.0ec463de-81c2-4f79-9d4c-029f7bb0f101,KIRO_CLI,6,24.0,3000.0,0.0,true,kiro-profile-prod-use1,Power,50,13,9,16,5,7,false
2026-04-14,d-92675051d5.33a7a52f-dbf7-4f6b-89c9-43d30a61e104,KIRO_CLI,3,8.25,900.0,0.0,true,kiro-profile-prod-use1,ProPlus,20,5,2,5,4,4,false
2026-04-14,d-92675051d5.4a0a1ddb-32de-4237-b40f-cbc81f6ae105,KIRO_CLI,3,7.23,1000.0,0.0,false,kiro-profile-prod-use1,Pro,21,6,1,5,5,4,false
2026-04-14,d-92675051d5.59888cc4-2dac-4454-a84e-b7968ad4e112,KIRO_CLI,3,10.31,1000.0,0.0,false,kiro-profile-prod-use1,Pro,25,6,3,7,4,5,false
2026-04-14,d-92675051d5.6273ba8a-bb02-425f-b443-3d4dcb2c9108,KIRO_CLI,3,9.62,700.0,0.0,true,kiro-profile-prod-use1,ProPlus,27,8,1,7,5,6,false
2026-04-14,d-92675051d5.838f6b85-1e72-4404-a193-f1b0dc79d107,KIRO_CLI,4,14.48,2500.0,0.0,true,kiro-profile-prod-use1,Power,35,9,3,10,6,7,false
2026-04-14,d-92675051d5.9b1ac779-7da0-470f-bfd8-fba1849ca111,KIRO_CLI,4,13.91,950.0,0.0,true,kiro-profile-prod-use1,ProPlus,30,7,5,8,4,6,false
2026-04-15,d-92675051d5.59888cc4-2dac-4454-a84e-b7968ad4e112,KIRO_CLI,4,11.28,1000.0,0.0,false,kiro-profile-prod-use1,Pro,27,6,3,8,4,6,false
2026-04-15,d-92675051d5.797d1e6c-6d5f-41a9-8dc7-53d2ef14e102,KIRO_CLI,4,14.2,850.0,0.0,true,kiro-profile-prod-use1,ProPlus,33,7,3,12,6,5,false
2026-04-15,d-92675051d5.7f1ccf95-18df-4d5f-9d1b-7155a1be8114,KIRO_CLI,2,5.49,2000.0,0.0,false,kiro-profile-prod-use1,ProPlus,15,4,1,4,2,4,false
2026-04-15,d-92675051d5.838f6b85-1e72-4404-a193-f1b0dc79d107,KIRO_CLI,4,11.36,2500.0,0.0,true,kiro-profile-prod-use1,Power,29,7,2,8,6,6,false
2026-04-15,d-92675051d5.9b1ac779-7da0-470f-bfd8-fba1849ca111,KIRO_CLI,5,13.28,950.0,0.0,true,kiro-profile-prod-use1,ProPlus,29,6,5,8,4,6,false
2026-04-16,d-92675051d5.0ec463de-81c2-4f79-9d4c-029f7bb0f101,KIRO_CLI,8,29.17,3000.0,0.0,true,kiro-profile-prod-use1,Power,59,15,11,19,6,8,false
2026-04-16,d-92675051d5.33a7a52f-dbf7-4f6b-89c9-43d30a61e104,KIRO_CLI,2,7.82,900.0,0.0,true,kiro-profile-prod-use1,ProPlus,20,5,2,5,4,4,false
2026-04-16,d-92675051d5.4a0a1ddb-32de-4237-b40f-cbc81f6ae105,KIRO_CLI,2,7.25,1000.0,0.0,false,kiro-profile-prod-use1,Pro,19,5,1,5,4,4,false
2026-04-16,d-92675051d5.6273ba8a-bb02-425f-b443-3d4dcb2c9108,KIRO_CLI,3,12.33,700.0,0.0,true,kiro-profile-prod-use1,ProPlus,32,9,2,8,6,7,false
2026-04-16,d-92675051d5.797d1e6c-6d5f-41a9-8dc7-53d2ef14e102,KIRO_CLI,5,16.98,850.0,0.0,true,kiro-profile-prod-use1,ProPlus,37,8,4,13,7,5,false
2026-04-16,d-92675051d5.7f1ccf95-18df-4d5f-9d1b-7155a1be8114,KIRO_CLI,2,5.39,2000.0,0.0,false,kiro-profile-prod-use1,ProPlus,16,5,0,4,3,4,false
2026-04-16,d-92675051d5.a9a3e94b-b147-4fb7-9934-f5ea941fd110,KIRO_CLI,6,29.03,3200.0,0.0,true,kiro-profile-prod-use1,Power,54,11,12,17,6,8,false
2026-04-17,d-92675051d5.0ec463de-81c2-4f79-9d4c-029f7bb0f101,KIRO_CLI,5,20.61,3000.0,0.0,true,kiro-profile-prod-use1,Power,42,11,8,13,4,6,false
2026-04-17,d-92675051d5.6273ba8a-bb02-425f-b443-3d4dcb2c9108,KIRO_CLI,3,10.76,700.0,0.0,true,kiro-profile-prod-use1,ProPlus,28,8,2,7,5,6,false
2026-04-17,d-92675051d5.797d1e6c-6d5f-41a9-8dc7-53d2ef14e102,KIRO_CLI,5,16.19,850.0,0.0,true,kiro-profile-prod-use1,ProPlus,37,8,4,13,7,5,false
2026-04-17,d-92675051d5.a9a3e94b-b147-4fb7-9934-f5ea941fd110,KIRO_CLI,8,26.11,3200.0,0.0,true,kiro-profile-prod-use1,Power,50,10,11,16,5,8,false
2026-04-17,d-92675051d5.f12818d1-8f2c-4d54-9188-4f7224a4d103,KIRO_CLI,4,9.26,1000.0,0.0,false,kiro-profile-prod-use1,Pro,24,7,2,6,4,5,false
2026-04-18,d-92675051d5.0ec463de-81c2-4f79-9d4c-029f7bb0f101,KIRO_CLI,2,8.45,3000.0,0.0,true,kiro-profile-prod-use1,Power,17,4,3,6,2,2,false
2026-04-18,d-92675051d5.a9a3e94b-b147-4fb7-9934-f5ea941fd110,KIRO_CLI,2,9.37,3200.0,0.0,true,kiro-profile-prod-use1,Power,18,4,4,5,2,3,false
2026-04-20,d-92675051d5.0ec463de-81c2-4f79-9d4c-029f7bb0f101,KIRO_CLI,4,20.09,3000.0,0.0,true,kiro-profile-prod-use1,Power,39,10,7,13,4,5,false
2026-04-20,d-92675051d5.797d1e6c-6d5f-41a9-8dc7-53d2ef14e102,KIRO_CLI,4,17.12,850.0,0.0,true,kiro-profile-prod-use1,ProPlus,37,8,4,13,7,5,false
2026-04-20,d-92675051d5.838f6b85-1e72-4404-a193-f1b0dc79d107,KIRO_CLI,4,10.57,2500.0,0.0,true,kiro-profile-prod-use1,Power,27,7,2,8,5,5,false
2026-04-20,d-92675051d5.a9a3e94b-b147-4fb7-9934-f5ea941fd110,KIRO_CLI,7,30.26,3200.0,0.0,true,kiro-profile-prod-use1,Power,57,11,13,18,6,9,false
2026-04-21,d-92675051d5.0ec463de-81c2-4f79-9d4c-029f7bb0f101,KIRO_CLI,9,27.49,3000.0,0.0,true,kiro-profile-prod-use1,Power,55,14,10,18,5,8,false
2026-04-21,d-92675051d5.33a7a52f-dbf7-4f6b-89c9-43d30a61e104,KIRO_CLI,3,9.71,900.0,0.0,true,kiro-profile-prod-use1,ProPlus,26,6,2,7,6,5,false
2026-04-21,d-92675051d5.3b537ba7-2c3b-4a6c-aec6-61e594bd1109,KIRO_CLI,3,6.55,1000.0,0.0,false,kiro-profile-prod-use1,Pro,17,6,1,4,3,3,false
2026-04-21,d-92675051d5.59888cc4-2dac-4454-a84e-b7968ad4e112,KIRO_CLI,4,12.56,1000.0,0.0,false,kiro-profile-prod-use1,Pro,30,7,3,9,5,6,false
2026-04-21,d-92675051d5.6273ba8a-bb02-425f-b443-3d4dcb2c9108,KIRO_CLI,3,9.61,700.0,0.0,true,kiro-profile-prod-use1,ProPlus,27,8,1,7,5,6,false
2026-04-21,d-92675051d5.797d1e6c-6d5f-41a9-8dc7-53d2ef14e102,KIRO_CLI,4,14.54,850.0,0.0,true,kiro-profile-prod-use1,ProPlus,33,7,3,12,6,5,false
2026-04-21,d-92675051d5.838f6b85-1e72-4404-a193-f1b0dc79d107,KIRO_CLI,6,16.18,2500.0,0.0,true,kiro-profile-prod-use1,Power,41,10,3,12,8,8,false
2026-04-21,d-92675051d5.a9a3e94b-b147-4fb7-9934-f5ea941fd110,KIRO_CLI,11,38.75,3200.0,0.0,true,kiro-profile-prod-use1,Power,76,15,17,24,8,12,false
2026-04-22,d-92675051d5.3b537ba7-2c3b-4a6c-aec6-61e594bd1109,KIRO_CLI,3,6.86,1000.0,0.0,false,kiro-profile-prod-use1,Pro,20,7,1,4,4,4,false
